no,id,foreign,name,lat,long
187,3301,33,KABUPATEN CILACAP,-7.733333,109.0
188,3302,33,KABUPATEN BANYUMAS,-7.4832133,109.14043799999999
189,3303,33,KABUPATEN PURBALINGGA,-7.390747,109.3638
190,3304,33,KABUPATEN BANJARNEGARA,-7.402705999999999,109.68139599999999
191,3305,33,KABUPATEN KEBUMEN,-7.678682000000001,109.656502
192,3306,33,KABUPATEN PURWOREJO,-7.709731,110.008003
193,3307,33,KABUPATEN WONOSOBO,-7.362108999999999,109.899399
194,3308,33,KABUPATEN MAGELANG,-7.481253,110.213799
195,3309,33,KABUPATEN BOYOLALI,-7.5238190000000005,110.595901
196,3310,33,KABUPATEN KLATEN,-7.7116869999999995,110.595497
197,3311,33,KABUPATEN SUKOHARJO,-7.6808818,110.81952920000002
198,3312,33,KABUPATEN WONOGIRI,-7.817782000000001,110.920601
199,3313,33,KABUPATEN KARANGANYAR,-7.596111099999999,110.95083329999999
200,3314,33,KABUPATEN SRAGEN,-7.430229,111.021301
201,3315,33,KABUPATEN GROBOGAN,-7.0217194,110.96258540000001
202,3316,33,KABUPATEN BLORA,-6.95,111.41666670000001
203,3317,33,KABUPATEN REMBANG,-6.711239999999999,111.345299
204,3318,33,KABUPATEN PATI,-6.7513380000000005,111.038002
205,3319,33,KABUPATEN KUDUS,-6.804086999999999,110.83820300000001
206,3320,33,KABUPATEN JEPARA,-6.559605900000001,110.6717
207,3321,33,KABUPATEN DEMAK,-6.888114999999999,110.639297
208,3322,33,KABUPATEN SEMARANG,-6.9666667,110.41666670000001
209,3323,33,KABUPATEN TEMANGGUNG,-7.316669,110.174797
210,3324,33,KABUPATEN KENDAL,-6.9196860000000004,110.205597
211,3325,33,KABUPATEN BATANG,-1.7083921999999998,103.0817903
212,3326,33,KABUPATEN PEKALONGAN,-6.882886999999999,109.66999799999999
213,3327,33,KABUPATEN PEMALANG,-6.884233999999999,109.377998
214,3328,33,KABUPATEN TEGAL,-6.866666700000001,109.13333329999999
215,3329,33,KABUPATEN BREBES,-6.883333299999999,109.05
